subject_group_code,level_code,code,name,description
1400S_COMUN,1400S_BACHI,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR
1400S_COMUN,1400S_BACHI,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN
1400S_COMUN,1400S_BACHI,AAM116,MATEMATICA,Descripción del curso  MATEMATICA
1400S_COMUN,1400S_BACHI,ADA118,DISEÑO ARQUITECTÓNICO I  ,Descripción del curso  DISEÑO ARQUITECTÓNICO I  
1400S_COMUN,1400S_BACHI,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE
1400S_COMUN,1400S_BACHI,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA
1400S_COMUN,1400S_BACHI,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
