section,code,name,description,period
1,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
2,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
3,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
4,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
5,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
6,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
7,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01
8,AAC111,COMPOSICIÓN Y COLOR,Descripción del curso  COMPOSICIÓN Y COLOR,2018-01

1,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
2,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
3,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
4,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
5,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
6,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01
7,AAM115,MEDIOS DE OBSERVACIÓN,Descripción del curso  MEDIOS DE OBSERVACIÓN,2018-01

1,AAM116,MATEMATICA,Descripción del curso  MATEMATICA,2018-01
2,AAM116,MATEMATICA,Descripción del curso  MATEMATICA,2018-01
3,AAM116,MATEMATICA,Descripción del curso  MATEMATICA,2018-01
4,AAM116,MATEMATICA,Descripción del curso  MATEMATICA,2018-01
5,AAM116,MATEMATICA,Descripción del curso  MATEMATICA,2018-01

1,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
2,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
3,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
4,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
5,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
6,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
7,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01
8,ADA118,DISEÑO ARQUITECTÓNICO I,Descripción del curso  DISEÑO ARQUITECTÓNICO I,2018-01

1,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01
2,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01
3,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01
4,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01
5,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01
6,AHA113,INTRODUCCION AL ARTE,Descripción del curso  INTRODUCCION AL ARTE,2018-01

1,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA,2018-01
2,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA,2018-01
3,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA,2018-01
4,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA,2018-01
5,ARDCP11,TALLER DE COMUNICACIÓN ESCRITA,Descripción del curso  TALLER DE COMUNICACIÓN ESCRITA,2018-01

1,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL,2018-01
2,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL,2018-01
3,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL,2018-01
4,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL,2018-01
5,ARDCP12,TALLER DE COMUNICACIÓN ORAL,Descripción del curso  TALLER DE COMUNICACIÓN ORAL,2018-01
